Product Name,SKU,Image URL,Item Description,Color,Size,Material,URL
"Peugeot Antique Bistro 1874 Pepper Mill, 12cmPeugeot Antique Bistro 1874 Pepper Mill, 12cm",100789,https://peugeotmillsaustralia.com.au/cdn/shop/files/100789_a-peugeot.png?v=1751432398&width=416,"Directly inspired by the iconic Z model from 1874, this special reissue combines woodwork and steel, in a celebration of the historic craftsmanship that made Peugeot renowned. Made in France Grind adjustment button: the tighter it is screwed, the finer the grind and vice versa Lifetime mechanism warranty Pepper Mill: for grinding black, white, green, red, and pink peppercorns (no more than 15% pink in a pepper blend) and coriander seeds up to 6mm in diameter. Do not grind salt in your pepper mill. Easily identify the differences between your classic bistro mills by looking for the printed P or S on the opposite side of the Peugeot logo.",Antique Finish,12cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-antique-bistro-1874-pepper-mill-12cm
"Peugeot Isen Long Pepper Mill, 16cmPeugeot Isen Long Pepper Mill, 16cm",100578,https://peugeotmillsaustralia.com.au/cdn/shop/files/100578_a-peugeot.png?v=1751432577&width=416,"Here is the first Peugeot mill specifically designed for long pepper and large peppercorns. This manual wooden mill is the perfect instrument for fans of peppers from around the world, especially long pepper varieties. You will no longer need a mortar and pestle to grind your long pepper. The Isen Pepper Mill's oversized mechanism can now easily take and grind this type of elongated pepper.",Natural Wood,16cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-isen-long-pepper-mill-16cm
"Peugeot Isen u'Select Pepper Mill with Crank Handle, 18cmPeugeot Isen u'Select Pepper Mill with Crank Handle, 18cm",100575,https://peugeotmillsaustralia.com.au/cdn/shop/files/100575_a-peugeot.png?v=1751432583&width=416,"With the u’Select system allowing highly precise grinding adjustment and its contemporary ergonomic shiny metal handle, the Isen pepper mill revisits the lines of historic Peugeot mills, with a touch of modernity.",Natural Wood,18cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-isen-uselect-pepper-mill-with-crank-handle-18cm
"Peugeot Daman Electric u'Select Salt & Pepper Mills Duo, 16cmPeugeot Daman Electric u'Select Salt & Pepper Mills Duo, 16cm",100559,https://peugeotmillsaustralia.com.au/cdn/shop/files/100559_a-peugeot.png?v=1751432600&width=416,"With this set of electric mills, Peugeot is reinforcing its innovative streak to offer the ultimate in functionality, and focusing on the playful and intuitive use of its mills. The Daman electric mill operates at the touch of a button. Efficient and silent, just pressing the button once is all it takes to produce the perfect amount of salt or pepper. In addition, there is special lighting to help you to keep a close eye on the amount of spice being ground. The Daman electric salt and pepper mills are practical, as they can be operated with one hand while you're using the other to cook with. A Peugeot signature, the patented u'Select grind control system at the base of the mills gives a taste result that is beyond perfection. Moreover, for the salt mill, its Zirconia mechanism, an innovation from Peugeot Research and Development, delivers extremely fine Powdered Salt, offering the taste pleasure of salt while limiting the quantity used. Elegance and practicality are the keywords of this set of Peugeot mills. Why not add it to your wishlist or perhaps it would make a great gift for someone who loves cooking. Compact and ergonomic design Press the button on the top of the mill to activate it Transparent reservoir helps you identify the contents quickly Equipped with a light to help you check how much salt is being ground u'Select grind adjustment system with six predefined settings 5-year product warranty Pepper Mill: For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds - Salt Mill : For grinding dry salt (rock salt) with a crystal size of less than or equal to 4 mm. Not suitable for use with sea salt, sea flakes or wet salt",Iridescent Black,16cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-electric-uselect-salt-pepper-mills-duo-16cm
"Peugeot Daman Electric u'Select Pepper Mill, 16cmPeugeot Daman Electric u'Select Pepper Mill, 16cm",100556,https://peugeotmillsaustralia.com.au/cdn/shop/files/100556_a-peugeot.png?v=1751432604&width=416,"This 16cm u'Select Electric Pepper Mill features a beautiful iridescent black finish, which pairs perfectly with its stainless steel base. Practical and stylish, this mill is easy to use and adjust; simply select one of the six pre-defined grind settings on the base of the mill for a finer or coarser grind. Its modern, compact design blends seamlessly into any kitchen. Compact and ergonomic design A transparent reservoir helps you identify the contents quickly Equipped with a light to help you check how much pepper is being ground u'Select grinding mechanism with six predefined grind settings Lifetime mechanism warranty",Iridescent Black,16cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-electric-uselect-pepper-mill-16cm
"Peugeot Zeli Electric Pepper Mill, 14 cmPeugeot Zeli Electric Pepper Mill, 14 cm",100553,https://peugeotmillsaustralia.com.au/cdn/shop/files/100553_a-peugeot.png?v=1751432609&width=416,"The Peugeot Zeli electric pepper mill offers a comfortable one-hand operation. Made of ABS, Zeli features a brushed stainless steel finish. Designed in France Lifetime mechanism warranty Classic Grinding Mechanism Use black, white or green peppercorns up to 6mm in size. Do not use salt in pepper mill.",Stainless Steel,14cm,ABS,https://peugeotmillsaustralia.com.au/products/peugeot-zeli-electric-pepper-mill-14-cm
"Peugeot Elis Sense u'Select Electric Salt & Pepper Mills Duo, 20cmPeugeot Elis Sense u'Select Electric Salt & Pepper Mills Duo, 20cm",100552,https://peugeotmillsaustralia.com.au/cdn/shop/files/100552_a-peugeot.png?v=1751432611&width=416,"The Elis Sense duo of electric mills is made for lovers of technology and beautiful objects. A classy design composed of stainless steel and acrylic. A genuine innovation, simply touch the body and head of the mill at the same time to activate it. The mill then supplies exactly the right dose of salt or pepper. A light illuminates during use. Equipped with the Peugeot mechanism, ultra-resistant with proven performance, it guarantees perfect longevity. The u’Select patented grind control system allows for precise adjustment of coarseness as required. Six dimensions of pepper or salt are available. The salt and pepper mills that form this duo are accompanied by a container of black pepper and dry salt crystals and a duo base. With Peugeot, innovation is always in the service of the useful and enjoyable! To be offered all the time.",Stainless Steel,20cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-elis-sense-uselect-electric-salt-pepper-mills-duo-20cm
"Peugeot Line Night Electric Zirlion u'Select Salt & Pepper Mill Gift Set, 15cmPeugeot Line Night Electric Zirlion u'Select Salt & Pepper Mill Gift Set, 15cm",100549,https://peugeotmillsaustralia.com.au/cdn/shop/files/100549_a-peugeot.png?v=1750725021&width=416,"Whether you decide to give it as a gift to your loved ones who appreciate design and fine dining, or to add it to your own wishlist, the Night Electric gift set is sure to be a hit. This stylish set includes a 15 cm Peugeot Line Electric Matte Black Pepper Mill, and a 15cm Peugeot Line Electric Matte Black Salt Mill. Features: Optimised filling thanks to the funnel-shaped reservoir Compact design and striated body for optimum grip Latest-generation Li-ion battery, long battery life and short charging time u'Select grind adjustment system with six predefined grind settings Each mechanism is backed by a lifetime mechanism warranty Pepper mill: for grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Salt mill: for grinding dry salt (rock salt) with a crystal size of less than or equal to 4 mm; do not use wet sea salt (even dried). The perfect gift for any occasion, from Christmas and birthdays to housewarmings, Mother's Day and Father's Day.",Black Aluminium,15cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-line-night-electric-z-uselect-salt-pepper-mill-gift-set-15cm
"Peugeot Line Electric Pepper Mill, 15cmPeugeot Line Electric Pepper Mill, 15cm",100545,https://peugeotmillsaustralia.com.au/cdn/shop/files/100545_a-peugeot.png?v=1751432621&width=416,"The Line electric mill, with its compact design and striated body, offers optimum grip for intuitive use in the kitchen. This ingenious item is easy to open and the reservoir is funnel-shaped to optimise the filling process. Precise u’Select adjustment is the perfect finishing touch. Using the adjustment ring at the base of the mill you can select your setting, from 1 to 6, to guarantee even grinding for whichever size you choose, to suit every taste. The Line electric mill is already proving to be the perfect gift for any occasion. Optimized filling thanks to the funnel-shaped reservoir Compact design and striated body for optimum grip Latest-generation Li-ion battery, long battery life and short charging time u'Select grind adjustment with six predefined grind settings Mechanism with a lifetime warranty Five-year warranty for the mill For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Original gift idea",Carbon,15cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-line-electric-pepper-mill-15cm
"Peugeot Paris Prestige Pepper Mill, 110cmPeugeot Paris Prestige Pepper Mill, 110cm",100542,https://peugeotmillsaustralia.com.au/cdn/shop/files/100542_a-peugeot.png?v=1751432622&width=416,"The Peugeot Paris Prestige pepper mill is a remarkable piece. Its complete refinement marks two centuries of Peugeot history. Its height of 1 metre 10 cm makes it a powerfully beautiful giant pepper mill. The body and head are produced from a single piece of solid wood, in tribute to the region where Peugeot originated, the Franche-Comté. Functional, it is equipped with a grind control knob located on the head to adjust pepper grinding, and a pepper mechanism that comes with a lifetime guarantee. With a black lacquer finish, the Paris Prestige pepper mill is the epitome of poise. The logo, sculpted in metal, alludes to Peugeot’s two hundred year history, the rolling of steel. The shiny metal plinth offers a magnificent base. Finally the metal cup, covering the pepper mill, gives the final touch. This unique pepper mill has its own number, as one of a limited edition, accompanied by its certificate of authenticity.",Black Lacquered,110cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-prestige-pepper-mill-110cm
"Peugeot Lalique Salt & Pepper Mills Duo, 9cmPeugeot Lalique Salt & Pepper Mills Duo, 9cm",100541,https://peugeotmillsaustralia.com.au/cdn/shop/files/100541_a-peugeot.png?v=1751432624&width=416,"René Lalique is the founder of the famous French crystal glassware house of the same name. In 1924 he worked with Peugeot to create the ""Leaves” mill. The bringing together of these two fields of expertise naturally produced an exceptional piece, made entirely of crystal, with an art deco look with unique light and transparency effects. A century later, the Lalique House and the Peugeot factory are reissuing this model. The reproduction of the “leaves” motifs calls for use of ultra-modern techniques, combined with the manual actions of fifteen craftsmen. This exceptional duo of mills pays tribute to unique expertise. An outstanding model that will delight lovers of Art Deco and precious objects.",Crystal,9cm,Lalique Crystal,https://peugeotmillsaustralia.com.au/products/peugeot-lalique-salt-pepper-mills-duo-9cm
"Peugeot Palace Pepper Mill, 10cmPeugeot Palace Pepper Mill, 10cm",100537,https://peugeotmillsaustralia.com.au/cdn/shop/files/100537_a-peugeot.png?v=1751432628&width=416,"The Palace Pepper Mill is a replica of the first mill created by Peugeot in 1874. The silver plated, polished wood is luxurious and classic. Made in France Mechanism with a lifetime guarantee Classic grinding mechanism Ideal gift for yourself or others For grinding black, white, green, and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds. Grind adjustment button: the more the button is screwed, the finer the grind, and vice versa.",Aged Wood,10cm,Silver Plated Metal and Wood,https://peugeotmillsaustralia.com.au/products/peugeot-palace-pepper-mill-10cm
"Peugeot Mignonnette Pepper Mill, 10cmPeugeot Mignonnette Pepper Mill, 10cm",100535,https://peugeotmillsaustralia.com.au/cdn/shop/files/100535_a-peugeot.png?v=1751432631&width=416,"A genuine piece of fine silverware, the reissue of the first Peugeot model In 1874, at the height of the  golden age of gastronomy , Peugeot created its very first pepper mill, model Z. This fine piece adorned the tables of the grandest of banquets. To bring pleasure to history lovers and those who appreciate beautiful objects, Peugeot decided to reissue this magnificent pepper mill in a modernised version.  the Mignonnette pepper mill  is a genuine piece of fine silverware, produced in a high quality silver-plated metal. Equipped with the Peugeot mechanism, it guarantees a perfect and incomparable result. Finally, like all pieces of fine silverware, it does deserve a bit of special care on your part (regular buffing with a chamois cloth or a product specifically for silver-plated metal).",Silver,10cm,Silver Plated Metal,https://peugeotmillsaustralia.com.au/products/peugeot-mignonnette-pepper-mill-10cm
"Peugeot Vittel Pepper Mill, 23cmPeugeot Vittel Pepper Mill, 23cm",100527,https://peugeotmillsaustralia.com.au/cdn/shop/files/100527_a-peugeot.png?v=1751432634&width=416,"The Vittel pepper mill has a pure and slender profile. Chrome accents enhance the transparency of the mill . Clear acrylic combined with shiny metal With its fine slender silhouette, the Vittel pepper mill is full of charm. This transparent mill clearly shows any Pepper that is contained. Its waist is highlighted elegantly by the chrome-plated ring. It has a button, engraved with the Peugeot lion's head, that is used to adjust the pepper coarseness. Loosen the button to give coarser grinding, Tighten the knob for finer ground pepper. This mill is equipped with the Peugeot steel grinding mechanism, with a strong cutting edge, which comes with a lifetime guarantee. This compact mill will look just right on your table and can be presented as a pair with the Vittel salt mill. Please Note: Peugeot Pepper Mills distributed by Peugeot Mills Australia do not come with peppercorns inside. The image is a demonstration.",Transparent,23cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-vittel-pepper-mill-23cm
"Peugeot Vittel Pepper Mill, 16cmPeugeot Vittel Pepper Mill, 16cm",100525,https://peugeotmillsaustralia.com.au/cdn/shop/files/100525_a-peugeot.png?v=1751432636&width=416,"The Vittel pepper mill has a pure and slender profile. Chrome accents enhance the transparency of the mill . Clear acrylic combined with shiny metal With its fine slender silhouette, the Vittel pepper mill is full of charm. This transparent mill clearly showsany Pepper that is contained. Its waist is highlighted elegantly by the chrome-plated ring. It has a button, engraved with the Peugeot lion's head, that is used to adjust the pepper coarseness. Loosen the button to give coarser grinding, Tighten the knob for finer ground pepper. This mill is equipped with the Peugeot steel grinding mechanism, with a strong cutting edge, which comes with a lifetime guarantee. This compact mill will look just right on your table and can be presented as a pair with the Vittel salt mill. Please Note: Peugeot Pepper Mills distributed by Peugeot Mills Australia do not come with peppercorns inside. The image is a demonstration.",Transparent,16cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-vittel-pepper-mill-16-cm
"Peugeot Pontarlier Pepper Mill and Salt Shaker, 15cmPeugeot Pontarlier Pepper Mill and Salt Shaker, 15cm",100524,https://peugeotmillsaustralia.com.au/cdn/shop/files/100524_a-peugeot.png?v=1751432637&width=416,"The Peugeot ""Pontarlier” combination mill is ideal for all keen gourmets, and for those who have little space or who simply do not want two mills. This dual-function manual mill allows you to grind pepper and use the salt cellar on top! Practical and smart, it allows you to use salt and pepper almost simultaneously. As with all Peugeot mills, the exclusive grinding mechanism comes with a lifetime guarantee. In transparent acrylic, this manual mill is both functional and beautiful, on the table as well as in the kitchen. Peugeot proves again that a utensil can perfectly combine performance, practicality and beauty to offer comfort and enjoyment in use!",Transparent,15cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-pontarlier-pepper-mill-and-salt-shaker-15cm
"Peugeot Chaumont Pepper Mill, 11cmPeugeot Chaumont Pepper Mill, 11cm",100522,https://peugeotmillsaustralia.com.au/cdn/shop/files/100522_a-peugeot.png?v=1751432639&width=416,"Create a bright, stylish dining ambience with the Peugeot pepper mill from the Chaumont collection. Easily recognised by its square base, this clear acrylic pepper mill is a model in the classic style, in tribute to the Chateaux of the Loire Valley. As with all Peugeot mills, the patented steel grinding mechanism comes with a lifetime guarantee. A model of elegance for all the many great and small moments of dining conviviality.",Transparent,11cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-chaumont-pepper-mill-11cm
"Peugeot Baltic Pepper Mill, 8cmPeugeot Baltic Pepper Mill, 8cm",100520,https://peugeotmillsaustralia.com.au/cdn/shop/files/100520_a-peugeot.png?v=1751432641&width=416,"The Peugeot Baltic pepper mill is irresistible in terms of its shape and size. In acrylic, fully transparent, its body clearly shows the peppercorns that it contains. The highly valuable adjustment knob controls the fineness of the pepper grind (the tighter the knob, the finer the pepper). As with all Peugeot mills, the mechanism comes with a lifetime guarantee. A mill with great elegance that forms a sparkling duo with the matching salt mill.",Transparent,8cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-balitc-pepper-mill-8cm
"Peugeot Royan Pepper Mill, 14cmPeugeot Royan Pepper Mill, 14cm",100515,https://peugeotmillsaustralia.com.au/cdn/shop/files/100515_a-peugeot.png?v=1751432644&width=416,"The Peugeot Royan pepper mill is a model of elegance. Its delicate metallic grey colour highlights the grain of the beechwood, for a very natural effect. Its satin appearance is enhanced by a bright stainless steel ring and knob reminding us of the world of Peugeot. This pepper mill in wood and stainless steel is equipped with a grind control knob located on the head to adjust the grind to the required size. Screw the knob tighter to obtain more finely ground pepper. The mechanism of the Royan manual pepper mill is suitable, like all Peugeot pepper mills, for black, white and green pepper, coriander seeds and pink peppercorns on condition that they are mixed with pepper (maximum of 15% pink peppercorns).",Metallic Grey,14cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-royan-pepper-mill-14cm
"Peugeot Oslo Wet Salt & Pepper Mills Duo, 14cmPeugeot Oslo Wet Salt & Pepper Mills Duo, 14cm",100511,https://peugeotmillsaustralia.com.au/cdn/shop/files/100511_a-peugeot.png?v=1751432645&width=416,"The acrylic that makes up the duo of Oslo wet salt and pepper mills highlights the spices that it holds. Designed specifically for grinding wet salt, the salt mechanism for this duo, made of ceramic material, comes with a lifetime guarantee. An ideal solution to obtain perfect grinding of even very wet salt. As charming as it is functional, this duo brings a Nordic ambience with its transparency and its stainless steel ring. Moreover, for the salt mill, its Zirconia mechanism, an innovation from Peugeot Research and Development, delivers extremely fine Powdered Salt, offering the taste pleasure of salt while limiting the quantity used. As with all Peugeot salt and pepper mills, the Zirconia grinding mechanism comes with a lifetime guarantee. Use&Care: Clean with a soft cloth / Never put the mill into a liquid and never put it to a dishwasher Made in France Grind adjustment button: the tighter it is screwed, the finer the grind and vice versa 5-year product warranty Pepper Mill: For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds '- Wet Salt Mill : Patented ceramic mechanism specially designed to grind wet salt crystals (Guérande salt, Noirmoutier salt, etc.)",Transparent,14cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-oslo-wet-salt-pepper-mills-duo-14cm
"Peugeot Oslo Pepper Mill, 14cmPeugeot Oslo Pepper Mill, 14cm",100507,https://peugeotmillsaustralia.com.au/cdn/shop/files/100507_a-peugeot.png?v=1751432651&width=416,"The Peugeot Oslo pepper mill in acrylic and stainless steel attracts light and offers magnificent effects of transparency. The knob located on the head of the mill is used to adjust the size of grind of the pepper (the tighter the knob, the finer the pepper). The steel mechanism comes with a lifetime guarantee. A pepper mill combining beauty with function, bringing transparency and modernity to enhance your table.",Transparent,14cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-oslo-pepper-mill-14cm
